id,premise,hypothesis,label,label_text,source_family_id,profile,difficulty,domain
controlplane-nli-v1-train-b002-000097,"Juniper Gate Audit Group reviewed 40 synthetic access records in sample AG-9. A draft worksheet initially listed two exceptions, but quality review found a third and issued a superseding final worksheet. The final worksheet therefore records 3 exceptions out of 40, or 7.5%. Audit procedure AP-12 classifies a sample as above tolerance when the exception rate exceeds 5%.",The final AG-9 exception rate exceeds the 5% tolerance threshold.,1,entailment,controlplane-nli-v1-train-b002-f025,regulated_decision_support,hard,audit findings
controlplane-nli-v1-train-b005-000052,"The Stonepath Group relationship manager acted for Stonepath Analytics during the DPA-77 process. Contract responsibility nevertheless remained with Stonepath Analytics Ltd., the named vendor, and the parent company was not a signatory. Acting on behalf of the subsidiary did not convert the parent into the contracting party.",The relationship manager's involvement made Stonepath Group the contracting party to DPA-77.,0,contradiction,controlplane-nli-v1-train-b005-f013,internal_assistant,medium,vendor management
controlplane-nli-v1-train-b001-000062,"Expense report ER-501 at Juniper Arc lists €180 for rail and €42 for a meal. The rail ticket is fully reimbursable, while the daily meal cap is €35, producing an approved total of €215. A taxi receipt remains under review and is not included in that total.",The approved ER-501 reimbursement includes the full €42 meal receipt.,0,contradiction,controlplane-nli-v1-train-b001-f016,internal_assistant,hard,expense reimbursement
controlplane-nli-v1-train-b002-000085,"Hearthline Works' synthetic dependent-care enrollment rule requires the dependent to be listed on the employee's benefits record, to be under age 13 on the coverage start date, and for enrollment to be submitted within 30 days of the qualifying event. Record HW-603 lists dependent Avery Cole, age 9 on October 1. The qualifying event occurred September 20, and enrollment was submitted October 4. The eligibility check passed.",Avery Cole met all three documented conditions for dependent-care enrollment in HW-603.,1,entailment,controlplane-nli-v1-train-b002-f022,regulated_decision_support,medium,employee benefits
controlplane-nli-v1-train-b001-000070,Redwood Axis separates remote-access rules by account class. Administrators with privileged accounts are required to use hardware-backed authentication. Standard analysts can use either hardware-backed authentication or an approved app token. Temporary vendor accounts are not covered in this excerpt.,A privileged administrator may use only an approved app token for remote access.,0,contradiction,controlplane-nli-v1-train-b001-f018,internal_assistant,hard,internal policies
controlplane-nli-v1-train-b001-000089,"Aurora Field Foundation's synthetic scholarship file SC-91 lists a completed application received on 2026-07-30. The academic review score is 84 out of 100, and the community review score is 18 out of 20. The file status is panel review pending. No award decision or funding amount is recorded.",Scholarship file SC-91 is awaiting panel review.,1,entailment,controlplane-nli-v1-train-b001-f023,regulated_decision_support,easy,scholarship review
controlplane-nli-v1-train-b004-000072,"A preliminary soft credit check may result in a ""pre-approved"" status for an auto loan. However, final loan approval is strictly contingent on a hard credit inquiry and manual income verification by an underwriter. Customer Emily received a pre-approved status letter in the mail, but has not yet submitted her income documents to an underwriter.",An underwriter will process a hard credit inquiry for Emily tomorrow.,2,neutral,controlplane-nli-v1-train-b004-f018,regulated_decision_support,easy,Consumer Lending
controlplane-nli-v1-train-b003-000058,"Ticket HD-3301 was filed by user tlee reporting a printer offline issue in office suite 4B, assigned to technician Osei and resolved same day. A separate ticket, HD-3302, filed minutes later by user tlee, reports a scanner malfunction in the same suite and remains open, assigned to technician Farah. Suite 4B's printer has shown no further issues since resolution.",Ticket HD-3302 is still open as of the latest available record.,1,entailment,controlplane-nli-v1-train-b003-f015,internal_assistant,hard,similar_tickets
controlplane-nli-v1-train-b001-000091,"Aurora Field Foundation records SC-91 as complete, scored, and pending panel review. The academic score is 84 out of 100 and the community score is 18 out of 20. The synthetic file does not state how many other applications are in the panel queue.",Exactly twelve applications are ahead of SC-91 in the panel queue.,2,neutral,controlplane-nli-v1-train-b001-f023,regulated_decision_support,easy,scholarship review
controlplane-nli-v1-train-b004-000098,"Under Section 8 guidelines, commercial vehicles over 10,000 lbs are prohibited from parking in residential zones overnight unless they are actively engaged in emergency utility repairs. Drivers violating this rule face a $500 fine. The municipal transit authority has the power to grant temporary overnight parking waivers for specific construction projects. A 12,000 lb commercial truck was parked in a residential zone overnight.","The 12,000 lb commercial truck is permitted to park overnight in the residential zone unconditionally.",0,contradiction,controlplane-nli-v1-train-b004-f025,regulated_decision_support,hard,Municipal Law
